Date,Open,High,Low,Close,Adj Close,Volume
2019-05-07,51.470001,51.855000,50.207500,50.715000,49.016071,155054800
2019-05-08,50.474998,51.334999,50.437500,50.724998,49.025738,105358000
2019-05-09,50.099998,50.419998,49.165001,50.180000,48.499008,139634400
2019-05-10,49.355000,49.712502,48.192501,49.294998,47.827122,164834800
2019-05-13,46.927502,47.369999,45.712502,46.430000,45.047436,229722400
2019-05-14,46.602501,47.424999,46.352501,47.165001,45.760548,146118800
2019-05-15,46.567501,47.937500,46.505001,47.730000,46.308720,106178800
2019-05-16,47.477501,48.117500,47.209999,47.520000,46.104980,132125600
2019-05-17,46.732498,47.724998,46.689999,47.250000,45.843014,131516400
2019-05-20,45.880001,46.087502,45.070000,45.772499,44.409512,154449200
2019-05-21,46.305000,47.000000,46.174999,46.650002,45.260895,113459200
2019-05-22,46.165001,46.427502,45.637501,45.695000,44.334324,118994400
2019-05-23,44.950001,45.134998,44.452499,44.915001,43.577549,146118800
2019-05-24,45.049999,45.535000,44.654999,44.742500,43.410194,94858800
2019-05-28,44.730000,45.147499,44.477501,44.557499,43.230686,111792800
2019-05-29,44.105000,44.837502,44.000000,44.345001,43.024529,113924800
2019-05-30,44.487499,44.807499,44.167500,44.575001,43.247669,84873600
2019-05-31,44.057499,44.497501,43.747501,43.767502,42.464222,108174400
2019-06-03,43.900002,44.480000,42.567501,43.325001,42.034893,161584400
2019-06-04,43.860001,44.957500,43.630001,44.910000,43.572693,123872000
2019-06-05,46.070000,46.247501,45.285000,45.634998,44.276104,119093600
2019-06-06,45.770000,46.367500,45.537498,46.305000,44.926155,90105200
2019-06-07,46.627499,47.980000,46.442501,47.537498,46.121952,122737600
2019-06-10,47.952499,48.842499,47.904999,48.145000,46.711369,104883600
2019-06-11,48.715000,49.000000,48.400002,48.702499,47.252258,107731600
2019-06-12,48.487499,48.992500,48.347500,48.547501,47.101883,73012800
2019-06-13,48.674999,49.197498,48.400002,48.537498,47.092190,86698400
2019-06-14,47.887501,48.397499,47.575001,48.185001,46.750172,75046000
2019-06-17,48.224998,48.740002,48.042500,48.472500,47.029118,58676400
2019-06-18,49.012501,50.072498,48.802502,49.612499,48.135159,106204000
2019-06-19,49.919998,49.970001,49.327499,49.467499,47.994484,84496800
2019-06-20,50.092499,50.152500,49.507500,49.865002,48.380150,86056000
2019-06-21,49.700001,50.212502,49.537498,49.695000,48.215210,191202400
2019-06-24,49.634998,50.040001,49.542500,49.645000,48.166698,72881600
2019-06-25,49.607498,49.814999,48.822498,48.892502,47.436607,84281200
2019-06-26,49.442501,50.247501,49.337502,49.950001,48.462624,104270000
2019-06-27,50.072498,50.392502,49.892502,49.935001,48.448067,83598800
2019-06-28,49.669998,49.875000,49.262501,49.480000,48.006611,124442400
2019-07-01,50.792500,51.122501,50.162498,50.387501,48.887089,109012000
2019-07-02,50.352501,50.782501,50.340000,50.682499,49.173302,67740800
2019-07-03,50.820000,51.110001,50.672501,51.102501,49.580795,45448000
2019-07-05,50.837502,51.270000,50.724998,51.057499,49.537140,69062000
2019-07-08,50.202499,50.349998,49.602501,50.005001,48.515980,101354400
2019-07-09,49.799999,50.377499,49.702499,50.310001,48.811901,82312000
2019-07-10,50.462502,50.932499,50.389999,50.807499,49.294586,71588400
2019-07-11,50.827499,51.097500,50.427502,50.437500,48.935612,80767200
2019-07-12,50.612499,51.000000,50.549999,50.825001,49.311558,70380800
2019-07-15,51.022499,51.467499,51.000000,51.302502,49.774845,67789600
2019-07-16,51.147499,51.527500,50.875000,51.125000,49.602634,67467200
2019-07-17,51.012501,51.272499,50.817501,50.837502,49.323700,56430000
2019-07-18,51.000000,51.470001,50.924999,51.415001,49.883995,74162400
2019-07-19,51.447498,51.625000,50.590000,50.647499,49.139343,83717200
2019-07-22,50.912498,51.807499,50.902500,51.805000,50.262379,89111600
2019-07-23,52.115002,52.227501,51.822498,52.209999,50.655319,73420800
2019-07-24,51.917500,52.287498,51.792500,52.167500,50.614079,59966400
2019-07-25,52.222500,52.310001,51.682499,51.755001,50.213875,55638400
2019-07-26,51.869999,52.432499,51.785000,51.935001,50.388508,70475600
2019-07-29,52.115002,52.660000,52.110001,52.419998,50.859066,86693600
2019-07-30,52.189999,52.540001,51.827499,52.195000,50.640770,135742800
2019-07-31,54.105000,55.342499,52.825001,53.259998,51.674057,277125600
